weights,method,runs,mean_fdp,sd_fdp,p90_fdp,max_fdp,prob_fdp_gt_q,mean_power,mean_nsel,mean_cal_positive_rate,mean_test_positive_rate
oracle weights,WBH,300,0.09813106154692033,0.03088616867047399,0.13495929664604364,0.19369369369369369,0.4866666666666667,0.8328279474243144,360.16333333333336,0.353275,0.77612
oracle weights,WCS.hete,300,0.09947610052356295,0.03857607310044908,0.14221588884930533,0.2857142857142857,0.5,0.6413043840683778,278.22,0.353275,0.77612
oracle weights,WCS.homo,300,0.09395384594528337,0.036329858583789516,0.1343472990378059,0.19457013574660634,0.48,0.7963922044138542,344.50666666666666,0.353275,0.77612
oracle weights,WCS.dtm,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353275,0.77612
ignore shift,WBH,300,0.13573684575876946,0.01814528026936873,0.15839932126696832,0.18594104308390022,0.9833333333333333,0.9437672367278219,423.87,0.353275,0.77612
ignore shift,WCS.hete,300,0.13571020277590098,0.01815939525216361,0.15839932126696832,0.18594104308390022,0.9833333333333333,0.9437207495594641,423.83666666666664,0.353275,0.77612
ignore shift,WCS.homo,300,0.1356380791559947,0.01811550062087248,0.1583710407239819,0.18409090909090908,0.9833333333333333,0.9437037914131995,423.79333333333335,0.353275,0.77612
ignore shift,WCS.dtm,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353275,0.77612
clip weights at 3,WBH,300,0.08213419987258747,0.02105934908732421,0.11195708105429666,0.14936708860759493,0.19333333333333333,0.8130576781506389,344.23333333333335,0.353275,0.77612
clip weights at 3,WCS.hete,300,0.08218584574512039,0.021194329208497557,0.11177211317506279,0.14936708860759493,0.19666666666666666,0.8127631964478866,344.13,0.353275,0.77612
clip weights at 3,WCS.homo,300,0.08211708290547141,0.02115104980594814,0.11150181163514196,0.14936708860759493,0.19666666666666666,0.8130034069274061,344.2033333333333,0.353275,0.77612
clip weights at 3,WCS.dtm,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353275,0.77612
