"score","q","method","weighted","nrej","fdp","power","coupling","seed"
"regression",0.1,"wBH","Yes",490,0.00816326530612245,0.503626943005181,"independent",16
"regression",0.1,"wCS_hete","Yes",490,0.00816326530612245,0.503626943005181,"independent",16
"regression",0.1,"wCS_homo","Yes",490,0.00816326530612245,0.503626943005181,"independent",16
"regression",0.1,"wCS_dtm","Yes",0,0,0,"independent",16
"regression",0.1,"uBH","No",484,0.00826446280991736,0.49740932642487,"independent",16
"regression",0.1,"uCS_hete","No",481,0.00831600831600832,0.494300518134715,"independent",16
"regression",0.1,"uCS_homo","No",481,0.00831600831600832,0.494300518134715,"independent",16
"regression",0.1,"uCS_dtm","No",0,0,0,"independent",16
"regression",0.2,"wBH","Yes",692,0.0375722543352601,0.690155440414508,"independent",16
"regression",0.2,"wCS_hete","Yes",534,0.0449438202247191,0.528497409326425,"independent",16
"regression",0.2,"wCS_homo","Yes",682,0.0366568914956012,0.680829015544041,"independent",16
"regression",0.2,"wCS_dtm","Yes",0,0,0,"independent",16
"regression",0.2,"uBH","No",655,0.0290076335877863,0.659067357512953,"independent",16
"regression",0.2,"uCS_hete","No",655,0.0290076335877863,0.659067357512953,"independent",16
"regression",0.2,"uCS_homo","No",655,0.0290076335877863,0.659067357512953,"independent",16
"regression",0.2,"uCS_dtm","No",0,0,0,"independent",16
"cqr_0.2",0.1,"wBH","Yes",497,0.00603621730382294,0.511917098445596,"independent",16
"cqr_0.2",0.1,"wCS_hete","Yes",496,0.00604838709677419,0.510880829015544,"independent",16
"cqr_0.2",0.1,"wCS_homo","Yes",496,0.00604838709677419,0.510880829015544,"independent",16
"cqr_0.2",0.1,"wCS_dtm","Yes",0,0,0,"independent",16
"cqr_0.2",0.1,"uBH","No",492,0.00609756097560976,0.506735751295337,"independent",16
"cqr_0.2",0.1,"uCS_hete","No",482,0.00622406639004149,0.496373056994819,"independent",16
"cqr_0.2",0.1,"uCS_homo","No",482,0.00622406639004149,0.496373056994819,"independent",16
"cqr_0.2",0.1,"uCS_dtm","No",0,0,0,"independent",16
"cqr_0.2",0.2,"wBH","Yes",694,0.037463976945245,0.692227979274611,"independent",16
"cqr_0.2",0.2,"wCS_hete","Yes",690,0.036231884057971,0.689119170984456,"independent",16
"cqr_0.2",0.2,"wCS_homo","Yes",691,0.0361794500723589,0.690155440414508,"independent",16
"cqr_0.2",0.2,"wCS_dtm","Yes",0,0,0,"independent",16
"cqr_0.2",0.2,"uBH","No",678,0.0339233038348083,0.678756476683938,"independent",16
"cqr_0.2",0.2,"uCS_hete","No",675,0.0311111111111111,0.677720207253886,"independent",16
"cqr_0.2",0.2,"uCS_homo","No",675,0.0311111111111111,0.677720207253886,"independent",16
"cqr_0.2",0.2,"uCS_dtm","No",0,0,0,"independent",16
"cqr_0.5",0.1,"wBH","Yes",519,0.00578034682080925,0.534715025906736,"independent",16
"cqr_0.5",0.1,"wCS_hete","Yes",454,0.0066079295154185,0.467357512953368,"independent",16
"cqr_0.5",0.1,"wCS_homo","Yes",514,0.00583657587548638,0.529533678756477,"independent",16
"cqr_0.5",0.1,"wCS_dtm","Yes",0,0,0,"independent",16
"cqr_0.5",0.1,"uBH","No",489,0.00613496932515337,0.503626943005181,"independent",16
"cqr_0.5",0.1,"uCS_hete","No",489,0.00613496932515337,0.503626943005181,"independent",16
"cqr_0.5",0.1,"uCS_homo","No",489,0.00613496932515337,0.503626943005181,"independent",16
"cqr_0.5",0.1,"uCS_dtm","No",0,0,0,"independent",16
"cqr_0.5",0.2,"wBH","Yes",703,0.0369843527738265,0.701554404145078,"independent",16
"cqr_0.5",0.2,"wCS_hete","Yes",701,0.0356633380884451,0.700518134715026,"independent",16
"cqr_0.5",0.2,"wCS_homo","Yes",702,0.0356125356125356,0.701554404145078,"independent",16
"cqr_0.5",0.2,"wCS_dtm","Yes",0,0,0,"independent",16
"cqr_0.5",0.2,"uBH","No",693,0.0331890331890332,0.694300518134715,"independent",16
"cqr_0.5",0.2,"uCS_hete","No",692,0.0332369942196532,0.693264248704663,"independent",16
"cqr_0.5",0.2,"uCS_homo","No",692,0.0332369942196532,0.693264248704663,"independent",16
"cqr_0.5",0.2,"uCS_dtm","No",0,0,0,"independent",16
