"coupling","score","method","weighted","q","n_runs","fdp_mean","fdp_sd","power_mean","power_sd","nrej_mean","nrej_sd"
"independent","cqr_0.2","uBH","No",0.1,20,0.00812504203557764,0.0048162033126965,0.47544502469664,0.0366499843125676,463.25,39.1110093532701
"independent","cqr_0.2","uBH","No",0.2,20,0.0243416603821197,0.00910377229396127,0.638299925908259,0.0376946863658858,632.4,45.0571566837173
"independent","cqr_0.2","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"independent","cqr_0.2","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"independent","cqr_0.2","uCS_hete","No",0.1,20,0.00806516067686653,0.00493106279541578,0.47264322648631,0.035520200032032,460.5,38.1665325976347
"independent","cqr_0.2","uCS_hete","No",0.2,20,0.0242432368475041,0.00898509492217268,0.63716311524998,0.0375095804549626,631.2,44.7385386675209
"independent","cqr_0.2","uCS_homo","No",0.1,20,0.00806516067686653,0.00493106279541578,0.47264322648631,0.035520200032032,460.5,38.1665325976347
"independent","cqr_0.2","uCS_homo","No",0.2,20,0.0242432368475041,0.00898509492217268,0.63716311524998,0.0375095804549626,631.2,44.7385386675209
"independent","cqr_0.2","wBH","Yes",0.1,20,0.00876469563937399,0.00564642212076511,0.469028287379704,0.0383196484750066,457.25,39.9471690585137
"independent","cqr_0.2","wBH","Yes",0.2,20,0.0223743237579958,0.0103181845626977,0.62408015671496,0.0506355868596334,617.35,58.4657119488355
"independent","cqr_0.2","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"independent","cqr_0.2","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"independent","cqr_0.2","wCS_hete","Yes",0.1,20,0.00879126130868344,0.00615067733750612,0.415924181760917,0.102609765621489,405.35,100.660594391042
"independent","cqr_0.2","wCS_hete","Yes",0.2,20,0.0227536880667014,0.010265265014839,0.58699011114625,0.122359490171884,580.9,124.769640369341
"independent","cqr_0.2","wCS_homo","Yes",0.1,20,0.00846465356819888,0.00539755720873047,0.441159859604313,0.110711203759818,430.4,108.77567452524
"independent","cqr_0.2","wCS_homo","Yes",0.2,20,0.0219113069260214,0.0103551358633206,0.621072950055687,0.0517557466987303,614.1,59.4748066964404
"independent","cqr_0.5","uBH","No",0.1,20,0.00841336791419778,0.00553348927744474,0.462961386487601,0.0465322717682247,451.3,48.7605319257718
"independent","cqr_0.5","uBH","No",0.2,20,0.0232282186145964,0.00836328333181227,0.616987261019262,0.0407642601431657,610.5,46.3073257817015
"independent","cqr_0.5","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"independent","cqr_0.5","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"independent","cqr_0.5","uCS_hete","No",0.1,20,0.00808392554162657,0.00551955227663987,0.460478381213761,0.0469218421525987,448.75,49.2168937619894
"independent","cqr_0.5","uCS_hete","No",0.2,20,0.0231195597472432,0.00828071291567522,0.615857403301506,0.0407522823412769,609.3,46.0835625450345
"independent","cqr_0.5","uCS_homo","No",0.1,20,0.00808392554162657,0.00551955227663987,0.460478381213761,0.0469218421525987,448.75,49.2168937619894
"independent","cqr_0.5","uCS_homo","No",0.2,20,0.0231195597472432,0.00828071291567522,0.615857403301506,0.0407522823412769,609.3,46.0835625450345
"independent","cqr_0.5","wBH","Yes",0.1,20,0.00731116505310208,0.00591758335277404,0.44990459582902,0.0521931307970845,438.1,53.8036390864723
"independent","cqr_0.5","wBH","Yes",0.2,20,0.0213396698746054,0.0105223966495896,0.593230605002953,0.0584267251533625,586.3,65.1242537082202
"independent","cqr_0.5","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"independent","cqr_0.5","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"independent","cqr_0.5","wCS_hete","Yes",0.1,20,0.00697045219813227,0.00644447856150187,0.362198731657502,0.138649700778487,352.4,135.067000917478
"independent","cqr_0.5","wCS_hete","Yes",0.2,20,0.0211402746862349,0.0107235442324046,0.552721483862437,0.103049020906747,546.4,106.763585355189
"independent","cqr_0.5","wCS_homo","Yes",0.1,20,0.00703338695709344,0.00573489798371832,0.447520062159574,0.0516642083586289,435.65,53.2187887280818
"independent","cqr_0.5","wCS_homo","Yes",0.2,20,0.0207816968337639,0.0105341031290817,0.590385712850771,0.0582451511057869,583.15,64.8514699748181
"independent","regression","uBH","No",0.1,20,0.00923639269401221,0.00561277424015158,0.455282242536952,0.0407313472133054,444.15,43.1597704983899
"independent","regression","uBH","No",0.2,20,0.0241410015339868,0.0086859572904215,0.616458690325329,0.0410773460510021,610.5,45.8458515600175
"independent","regression","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"independent","regression","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"independent","regression","uCS_hete","No",0.1,20,0.00918189620103692,0.00566739918813121,0.452325867733088,0.0412442219129473,441.25,43.7058047451486
"independent","regression","uCS_hete","No",0.2,20,0.0240314251644741,0.00868267142247987,0.615103790559478,0.0414031772162975,609.1,46.2452273497664
"independent","regression","uCS_homo","No",0.1,20,0.00918189620103692,0.00566739918813121,0.452325867733088,0.0412442219129473,441.25,43.7058047451486
"independent","regression","uCS_homo","No",0.2,20,0.0240314251644741,0.00868267142247987,0.615103790559478,0.0414031772162975,609.1,46.2452273497664
"independent","regression","wBH","Yes",0.1,20,0.00869589926203656,0.00685115100764636,0.444496351812977,0.0466519354385057,433.5,49.3979543578157
